Pais;Entidad estatal;Referencia;Descripción;Fase actual;Fecha de publicación;Fecha de presentación de ofertas;Cuantía Estado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1115-2024;PROFESIONAL EJE DE CALIDAD E INOCUIDAD PAE;Presentación de oferta;22/08/2024 9:15 PM (UTC -5 horas);-;28.352.610 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1112-2024;PROFESIONAL EJE DE TRANSPARENCIA PAE;Presentación de oferta;22/08/2024 8:53 PM (UTC -5 horas);-;28.352.610 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1126-2024;PROFESIONAL MONITOREO Y CONTROL PAE;Presentación de oferta;22/08/2024 8:38 PM (UTC -5 horas);-;28.350.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1111-2024;PROFESIONAL EJE ALIMENTACION SALUDABLE PAE;Presentación de oferta;22/08/2024 7:58 PM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE TUNJA/;LP-AMT-0032024 (Presentación de oferta);SET-81 SUMINISTRO, ENTREGA Y DISTRIBUCIÓN DE UN COMPLEMENTO ALIMENTARIO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE (Presentación de oferta);Presentación de oferta;22/08/2024 7:40 PM (UTC -5 horas);30/08/2024 9:00 AM (UTC -5 horas);2.247.803.168,8 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1110-2024;PROFESIONAL EJE FINANCIERO PAE;Presentación de oferta;22/08/2024 7:37 PM (UTC -5 horas);-;39.692.550 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE GUARNE;LP-02-2024 (Presentación de oferta);PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES CON MATRICULA OFICIAL DEL MUNICIPIO DE GUARNE COFINANCIACIÓN CON CONVENIO INTERADMINISTRATIVO 4600017162 (Presentación de of;Presentación de oferta;22/08/2024 5:52 PM (UTC -5 horas);3/09/2024 4:00 PM (UTC -5 horas);896.109.696 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL QUINDIO ARMENIA;EDU-PSP-1923-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL CUMPLIMIENTO DEL EJE DE CALIDAD E INOCUIDAD DURANTE LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL DEPARTAMENTO DEL QUINDIO;Presentación de oferta;22/08/2024 2:47 PM (UTC -5 horas);-;14.400.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;BANCO DE LA REPUBLICA;53014538;MANUEL EDUARDO MAUNA PAEZ;Presentación de oferta;22/08/2024 11:03 AM (UTC -5 horas);-;134.500 COP;Publicado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE MELGAR;CD 878-2024;JOHAN ANDRES JARA PAEZ;Presentación de oferta;22/08/2024 10:53 AM (UTC -5 horas);-;6.600.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUCION EDUCATIVA JOSE MARIA BRAVO MARQUEZ;009-05-2024;Arreglo de Infraestructura de Vaso de Leche Sedes 1 y 2, según requerimiento de interventoría del PAE.;Presentación de oferta;22/08/2024 10:18 AM (UTC -5 horas);-;3.633.400 COP;Publicado;Detalle
COLOMBIA;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE ARBELAEZ;CPS 767-2024;DIEGO ANDRES BLANCO PAEZ;Presentación de oferta;22/08/2024 9:30 AM (UTC -5 horas);-;8.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SECRETARÍA DISTRITAL DE MOVILIDAD;SDM-CPS-3029-2024;DARLIN TATIANA PAEZ GRUESO;Presentación de oferta;21/08/2024 6:24 PM (UTC -5 horas);-;34.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;Alcaldía De Villamaria;789-2024;CAMILA ALEJANDRA PAEZ CAMPOS;Presentación de oferta;21/08/2024 5:36 PM (UTC -5 horas);-;8.800.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE ZETAQUIRA;MZ-ESAL-005-2024-1;AUNAR ESFUERZOS TÉCNICOS, ECONÓMICOS Y HUMANOS PARA LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, COMO ESTRATEGIA PARA GARANTIZAR LOS DERECHOS FUNDAMENTALES A LA EDUCACIÓN Y;Presentación de oferta;21/08/2024 2:27 PM (UTC -5 horas);23/08/2024 10:00 AM (UTC -5 horas);246.503.740,68 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE REMEDIOS;SECD-225-2024;PRESTAR LOS SERVICIOS DE APOYO A LA GESTION PARA EL FORTALECIMIENTO DEL PROGRAMA ALIMENTARIO MANA PAE DEL MUNICIPIO DE REMEDIOS;Presentación de oferta;21/08/2024 8:01 AM (UTC -5 horas);-;12.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE LABRANZAGRANDE;ML-ESAL-012 DE 2024;SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICIALES PARA GARANTIZAR LA CONTINUIDAD EL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, DURANTE EL SEGUNDO SEMESTRE AÑO;Presentación de oferta;20/08/2024 8:52 PM (UTC -5 horas);22/08/2024 8:00 AM (UTC -5 horas);154.407.081,3 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE TENJO;CD-PS-PSP-357-2024;PRESTACIÓN DE SERVICIOS PROFESIONALES EN INGENIERÍA DE ALIMENTOS PARA EL APOYO AL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL MUNICIPIO DE TENJO.;Presentación de oferta;20/08/2024 7:12 PM (UTC -5 horas);-;15.200.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;DEPARTAMENTO DEL META;GCSJ-CM-003-2024 (Presentación de oferta);INTERVENTORIA TECNICA, ADMINISTRATIVA, FINANCIERA Y JURIDICA PARA AL CONTRATO DE ALIMENTACION ESCOLAR (PAE REGULAR Y RESIDENCIAS ESCOLARES) A FIN DE GARANTIZAR EL SUMINISTRO DE COMPLEMENTOS (Presenta;Presentación de oferta;20/08/2024 6:58 PM (UTC -5 horas);27/08/2024 8:00 AM (UTC -5 horas);2.405.787.909 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;ALCALDÍA MUNICIPIO DE SIACHOQUE;MS-ESAL-011-2024;PAE SEGUNDO SEMESTRE 2024;Presentación de oferta;20/08/2024 6:27 PM (UTC -5 horas);23/08/2024 9:00 AM (UTC -5 horas);480.400.875,34 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE CALDAS ANTIOQUIA;CD-0456-2024;Apoyar el seguimiento operativo al desarrollo del programa de alimentación escolar (PAE) del Municipio de Caldas - Antioquia.;Presentación de oferta;20/08/2024 4:55 PM (UTC -5 horas);-;9.544.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;SECRETARIA DISTRITAL DE DESARROLLO ECONOMICO - ALCALDIA BOGOTÁ;CDPS-1004-2024;CDPS-SANTIAGO ROMERO PAEZ;Presentación de oferta;20/08/2024 12:16 PM (UTC -5 horas);-;44.333.333 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;UNIVERSIDAD DEL CAUCA;Orden de Compra No. 5.4.5-40.1/20240145;ADQUISICIÓN DE ELEMENTOS REQUERIDOS PARA LAS ACTIVIDADES ACADÉMICAS DEL PORYECTO "PROGRAMA DE TRÁNSITO INMEDIATO A LA EDUCACIÓN SUPERIOR - PTIES" EN EL MUNICIPIO DE PAEZ.;Presentación de oferta;20/08/2024 11:04 AM (UTC -5 horas);-;620.443 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE EBEJICO;CPS083-2024;APOYO DEL PAE;Presentación de oferta;20/08/2024 10:29 AM (UTC -5 horas);-;9.600.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE VILLA DE LEYVA//;RE-ESAL-021-2024;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS ENTRE EL DEPARTAMENTO DE BOYACÁ Y EL MUNICIPIO DE VILLA DE LEYVA, PARA GARANTIZAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, DURANTE EL SEGUNDO;Presentación de oferta;20/08/2024 7:00 AM (UTC -5 horas);26/08/2024 9:00 AM (UTC -5 horas);865.557.237,05 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE GOMEZ PLATA;PS203-2024;ENLACE PAE;Presentación de oferta;18/08/2024 2:12 PM (UTC -5 horas);-;12.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE SASAIMA;CD-PSP-145 DE 2024;CONSTANZA BAUTISTA PAEZ;Presentación de oferta;16/08/2024 11:17 PM (UTC -5 horas);-;10.200.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUTO DISTRITAL DE LA PARTICIPACIÓN Y ACCIÓN COMUNAL;CD-IDPAC-506-2024;LUISA FERNANDA PAEZ CARO;Presentación de oferta;16/08/2024 7:21 PM (UTC -5 horas);-;15.166.667 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE CHISCAS;ESAL-010-2024;Convenio de Asociación PAE;Presentación de oferta;16/08/2024 7:11 PM (UTC -5 horas);21/08/2024 10:00 AM (UTC -5 horas);154.691.805,95 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE VILLETA;CD 359 DE 2024;DAVID ALBERTO PAEZ RODRIGUEZ;Presentación de oferta;16/08/2024 6:37 PM (UTC -5 horas);-;13.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE CHINAVITA;MCH-RE-ESAL-009-2024;PAE 4;Presentación de oferta;16/08/2024 5:54 PM (UTC -5 horas);17/08/2024 6:00 PM (UTC -5 horas);169.537.619,9 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;UNIVERSIDAD NACIONAL DE COLOMBIA;OSE_1533_2024;PRESTAR SERVICIOS PROFESIONALES PARA BRINDAR SERVICIO TÉCNICO DE SOPORTE Y MANTENIMIENTO A LA APLICACIÓN PAEVISION, UTILIZADA PARA EL PROYECTO TITULADO INTERVENTORÍA TÉCNICA, JURÍDICA, ADMINISTRATIVA;Presentación de oferta;16/08/2024 3:33 PM (UTC -5 horas);-;33.600.000 COP;Publicado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1107-2024;PROFESIONAL PAE;Presentación de oferta;15/08/2024 7:15 PM (UTC -5 horas);-;40.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;SED-1108-2024;ASESOR PAE;Presentación de oferta;15/08/2024 6:50 PM (UTC -5 horas);-;50.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPIO DE VALDIVIA;PS-107-2024;PRESTACION DE SERVICIO PARA EL FORTALECIMIENTO DE LOS PROCESOS DE SEGUIMIENTO, REGISTRO, Y VERIFICACIÓN Y CONTROL DE LA CALIDAD DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, DEL PROGRAMA DE SEGURIDAD ALIM;Presentación de oferta;15/08/2024 3:44 PM (UTC -5 horas);-;18.266.667 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;COLEGIO DISTRITAL ALFONSO LOPEZ;CONT006-2024;ADECUACION DE SALON PAE, ADECUACION BODEGA PASILLO SALA DE INFORMATICA Y SISTEMA DE DRENAJE AGUAS LLUVIAS, REPARACION LOCATIVAS (PUERTAS DE ALUMNIOS DE BAÑOS, LABORATORIOS, SALONES, INSTALACION DE ACC;Presentación de oferta;15/08/2024 12:02 PM (UTC -5 horas);-;26.000.000 COP;Publicado;Detalle
COLOMBIA;MUNICIPIO DE PISBA;PC-ESAL-MP-002-2024;AUNAR ESFUERZOS TÉCNICOS, ECONÓMICOS Y HUMANOS PARA LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, COMO ESTRATEGIA PARA GARANTIZAR LOS DERECHOS FUNDAMENTALES A LA EDUCACIÓN Y;Presentación de oferta;15/08/2024 11:22 AM (UTC -5 horas);20/08/2024 8:00 AM (UTC -5 horas);102.004.909,6 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;INSTITUTO NACIONAL DE SALUD;INS-CPS-260-2024;ORLANDO JOSE VALLECIA PAEZ;Presentación de oferta;15/08/2024 10:43 AM (UTC -5 horas);-;27.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA DE POPAYÁN;MP-SE-CD-187-2024;PRESTAR SUS SERVICIOS PROFESIONALES COMO INGENIERO DE SISTEMAS O ÁREAS AFINES, PARA APOYAR LA SUPERVISIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) DE ACUERDO A LOS REQUERIMIENTOS TÉCNICO;Presentación de oferta;15/08/2024 10:15 AM (UTC -5 horas);-;17.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;CENTRO EDUCATIVO EL LIMON;CONTRATO RGP N° 07-2024;Adecuacion de temporal de un tambo para ubicar momenteneamente la cocina para la manipulacion de alimentos PAE;Presentación de oferta;14/08/2024 8:23 PM (UTC -5 horas);-;3.000.000 COP;Publicado;Detalle
COLOMBIA;ASOCIACION DE MUNICIPIOS DEL URABA ANTIOQUEÑO - ASOMURA;MAC-02-2024;SUMINISTRO PARA REALIZAR LA ENTREGA DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE CAREPA - ANTIOQUIA, PARA LA VIGENCIA SEGUN;Presentación de oferta;14/08/2024 6:58 PM (UTC -5 horas);29/08/2024 8:00 AM (UTC -5 horas);2.082.682.140 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE GACHANTIVÁ;MG-MC-027-2024;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS EN LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, ENTRE EL DEPARTAMENTO DE BOYACÁ Y EL MUNICIPIO DE GACHANTIVA PARA GAR;Presentación de oferta;14/08/2024 6:38 PM (UTC -5 horas);16/08/2024 6:00 PM (UTC -5 horas);35.286.802,56 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN MATEO;SM-ESAL-005-2024 PAE;AUNAR ESFUERZOS TÉCNICOS, ECONÓMICOS Y HUMANOS PARA LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, COMO ESTRATEGIA PARA GARANTIZAR LOS DERECHOS FUNDAMENTALES A LA EDUCACIÓN Y;Presentación de oferta;14/08/2024 6:07 PM (UTC -5 horas);15/08/2024 6:00 PM (UTC -5 horas);231.583.502,7 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPIO DE CUCAITA;MC-SAMC-SI-004-2024 (Presentación de oferta);EJECUTAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, DURANTE EL SEGUNDO SEMESTRE AÑO 2024, SEGÚN CONVENIO INTERADMINISTRATIVO FIRMADO ENTRE EL DEPARTAMENTO DE BOYACÁ Y EL MUNICIPIO DE CUCAITA- BOYACÁ;Presentación de oferta;14/08/2024 4:43 PM (UTC -5 horas);20/08/2024 5:00 PM (UTC -5 horas);210.913.837,75 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;UNIDAD PRESTADORA DE SALUD SANTANDER;PN UPRES DESAN CD 0552 2024;PAEZ MALAVER ANGY FAYZULLY;Presentación de oferta;14/08/2024 4:37 PM (UTC -5 horas);-;9.914.668 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA DE GIRARDOTA;5308/CMC030/2024;SUMINISTRO DEL MENAJE NECESARIO PARA EL ALMACENAMIENTO, PREPARACIÓN, DISTRIBUCIÓN Y CONSUMO, PARA EL DESARROLLO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) EN EL MUNICIPIO DE GIRARDOTA;Presentación de oferta;14/08/2024 4:01 PM (UTC -5 horas);20/08/2024 5:00 PM (UTC -5 horas);36.355.133 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN MATEO;SM-ESAL-005-2024;AUNAR ESFUERZOS TÉCNICOS, ECONÓMICOS Y HUMANOS PARA LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, COMO ESTRATEGIA PARA GARANTIZAR LOS DERECHOS FUNDAMENTALES A LA EDUCACIÓN Y;Presentación de oferta;14/08/2024 3:05 PM (UTC -5 horas);15/08/2024 4:00 PM (UTC -5 horas);231.583.502,7 COP;Proceso cancelado;Detalle
COLOMBIA;Jardín Botánico José Celestino Mutis;JBB-CD-990-2024;SONIA ANDREA BOHORQUEZ PAEZ;Presentación de oferta;14/08/2024 2:17 PM (UTC -5 horas);-;19.233.280 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;PARQUES NACIONALES NATURALES DE COLOMBIA - DIRECCION TERRITORIAL AMAZONIA;CD-DTAM-179-2024;Convenio interadministrativo PNN Alto Fragua IW y R Paez del Portal - 2024;Presentación de oferta;14/08/2024 12:29 PM (UTC -5 horas);14/08/2024 1:30 PM (UTC -5 horas);25.000.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA MUNICIPAL DE PUERTO BOYACA;LIC 006 DE 2024 (Presentación de oferta);PAE (Presentación de oferta);Presentación de oferta;14/08/2024 11:23 AM (UTC -5 horas);24/08/2024 7:00 AM (UTC -5 horas);1.771.011.818,84 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE QUIPAMA;ESAL- MQ-005-2024;IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE;Presentación de oferta;14/08/2024 10:49 AM (UTC -5 horas);16/08/2024 12:30 PM (UTC -5 horas);212.269.208,25 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;UNIVERSIDAD DEL CAUCA;Orden de Compra No. 5.4.5-40.1/20240146;ADQUISICIÓN DE ELEMENTOS REQUERIDOS PARA LAS ACTIVIDADES ACADÉMICAS DEL PORYECTO "PROGRAMA DE TRÁNSITO INMEDIATO A LA EDUCACIÓN SUPERIOR - PTIES" EN EL MUNICIPIO DE PAEZ.;Presentación de oferta;14/08/2024 10:13 AM (UTC -5 horas);-;1.130.205 COP;Publicado;Detalle
COLOMBIA;Universidad de Cartagena;UC-SGR-BPIN-2021000100361-8-2024;FRANCISCO ALBERTO PAEZ VENCE;Presentación de oferta;14/08/2024 7:16 AM (UTC -5 horas);-;9.902.850 COP;Publicado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE RÁQUIRA;MR-ESAL-006-2024;PAE;Presentación de oferta;13/08/2024 7:37 PM (UTC -5 horas);16/08/2024 9:00 AM (UTC -5 horas);406.876.801,1 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDIA DE BUSBANZA - BOYACA;MP-ESAL-008 DE 2024;SUMINISTRO DE COMPLEMENTO ALIMENTARIO, CONFORME A LOS LINEAMIENTOS DE LA SECRETARÍA DE EDUCACIÓN DE BOYACÁ, PARA GARANTIZAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE;Presentación de oferta;13/08/2024 5:20 PM (UTC -5 horas);15/08/2024 8:00 AM (UTC -5 horas);33.966.447,35 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO PAZ DE RIO**;MPR-ESAL-08-2024;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS EN LA IMPLEMENTACIÓN Y EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, PARA GARANTIZAR LA CONTINUIDAD EL PROGRAMA DE ALIMENTACIÓN ESCOLAR DU;Presentación de oferta;13/08/2024 5:16 PM (UTC -5 horas);15/08/2024 10:30 AM (UTC -5 horas);225.412.873,95 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;GOBERNACIÓN DE BOYACÁ;CD-GB-2825-2024;AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS ENTRE EL DEPARTAMENTO DE BOYACÁ Y EL MUNICIPIO DE ZETAQUIRA, PARA GARANTIZAR LA CONTINUIDAD EL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, DURANTE;Presentación de oferta;13/08/2024 4:34 PM (UTC -5 horas);14/08/2024 4:00 PM (UTC -5 horas);265.837.367,4 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;Empresa Social del Estado Salud Dorada;RE280-2024;JOSE RICARDO BUSTAMANTE PAEZ;Presentación de oferta;13/08/2024 4:28 PM (UTC -5 horas);-;32.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE DUITAMA;CCS-20240344;PRESTACIÓN DE SERVICIOS PROFESIONALES PARA REALIZAR ACTIVIDADES DE ACOMPAÑAMIENTO, MONITOREO Y SUPERVISIÓN DE CAMPO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE DESARROLLADO EN LAS INSTITUCIONES EDUCATIVA;Presentación de oferta;13/08/2024 4:01 PM (UTC -5 horas);-;16.128.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE SAN PEDRO DE LOS MILAGROS;CI-190-2024;CONTRATO INTERADMINISTRATIVO DE ADMINISTRACIÓN DELEGADA DE RECURSOS PARA ATENDER EL CUMPLIMIENTO DEL PROGRAMA ALIMENTACIÓN ESCOLAR (PAE) EN EL SEGUNDO SEMESTRE DE 2024 REFERIDO A LA DISPOSICION DE LAS;Presentación de oferta;13/08/2024 3:54 PM (UTC -5 horas);-;154.941.080 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO EL CARMEN DE VIBORAL;LP-03-2024 (Presentación de oferta);Integrar esfuerzos para la ejecución del Programa de Alimentación Escolar- PAE, para los niños, niñas y adolescentes de la matrícula oficial del municipio de EL CARMEN DE VIBORAL - Antioquia, para la;Presentación de oferta;13/08/2024 3:22 PM (UTC -5 horas);28/08/2024 9:00 AM (UTC -5 horas);1.808.826.905 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;UNIDAD PRESTADORA DE SALUD SANTANDER;PN UPRES DESAN CD 0478 2024;GUTIERREZ PAEZ ISABEL CRISTINA;Presentación de oferta;13/08/2024 3:02 PM (UTC -5 horas);-;7.436.001 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;Alcaldía Municipal de San Martín, Cesar;CM-001-2024 (Presentación de oferta);INTERVENTORIA, TECNICA, ADMINISTRATIVA, FINANCIERA Y LEGAL A LA IMPLEMENTACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR -PAE- VIGENCIA 2024, PARA LAS INSTITUCIONES EDUCATIVAS LA CURVA Y TERRAPLÉN DEL MUNI;Presentación de oferta;13/08/2024 11:36 AM (UTC -5 horas);16/08/2024 10:00 AM (UTC -5 horas);89.130.006 COP;Proceso cancelado;Detalle
COLOMBIA;ESE HOSPITAL LOCAL MAHATES;NCC 2024-07-02-028;GUSTAVO MORALES PAEZ;Presentación de oferta;13/08/2024 10:28 AM (UTC -5 horas);-;16.800.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE JERICO - ANTIOQUIA;PCS-ESAL-002-2024;PAE-2;Presentación de oferta;13/08/2024 9:27 AM (UTC -5 horas);16/08/2024 12:00 PM (UTC -5 horas);393.733.642 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA MUNICIPAL DE NUEVO COLON;SAMC-07-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);SUMINISTRAR EL COMPLEMENTO ALIMENTARIO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE A LOS ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE NUEVO COLÓN, DURANTE EL SEGUNDO SEMESTRE;Presentación de oferta;13/08/2024 9:16 AM (UTC -5 horas);13/08/2024 6:00 PM (UTC -5 horas);313.687.743,05 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE REMEDIOS;SECD-221-2024;PRESTAR SERVICIOS DE APOYO A LA GESTIÓN PARA LA RECOLECCIÓN DE INFORMACIÓN, PARA EL FUNCIONAMIENTO DEL PROGRAMA ALIMENTACIÓN ESCOLAR PAE-MANÁ DEL MUNICIPIO DE REMEDIOS;Presentación de oferta;13/08/2024 6:50 AM (UTC -5 horas);-;12.500.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO SAN RAFAEL ANTIOQUIA;CPS236-2024;FORTALECIMIENTO AL SERVICIO EDUCATIVO EN EL PROGRAMA DE ALIMENTACION PAE EN LA EJECUCION DE ESTRATEGIAS DE PERMANENCIA CON ALIMENTACION ESCOLAR PARA LOS NIÑOS NIÑAS Y JOVENES DEL MUNICIPIO DE SAN RAFA;Presentación de oferta;13/08/2024 3:22 AM (UTC -5 horas);-;12.150.000 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;MUNICIPIO DE CACERES;CA002-2024;PAE 2024-2;Presentación de oferta;12/08/2024 11:25 PM (UTC -5 horas);16/08/2024 5:30 PM (UTC -5 horas);1.827.679.650 COP;Proceso adjudicado y celebrado;Detalle
COLOMBIA;ALCALDÍA MUNICIPIO DE GÜICÁN;MG-ESAL-007-2024;PAE;Presentación de oferta;12/08/2024 11:15 PM (UTC -5 horas);15/08/2024 11:00 AM (UTC -5 horas);272.892.996,75 COP;Proceso en evaluación y observaciones;Detalle
COLOMBIA;MUNICIPIO DE COMBITA;ESAL-007-2024;AUNAR ESFUERZOS TÉCNICOS Y ADMINISTRATIVOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE) Y SUMINISTRAR EL COMPLEMENTO ALIMENTARIO A LOS ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICI;Presentación de oferta;12/08/2024 8:06 PM (UTC -5 horas);14/08/2024 8:30 AM (UTC -5 horas);341.596.155,45 COP;Proceso adjudicado y celebrado;Detalle
